midPrice,sell,buy,installment,updated_at
,1727939,1684740,1727939,2025-03-26T00:00:00.000Z
,1714920,1672047,1714920,2025-03-25T00:00:00.000Z
,1720885,1677862,1720885,2025-03-24T00:00:00.000Z
,1736627,1693211,1736627,2025-03-23T00:00:00.000Z
,1736627,1693211,1736627,2025-03-22T00:00:00.000Z
,1736198,1692793,1736198,2025-03-21T00:00:00.000Z
,1731943,1688644,1731943,2025-03-20T00:00:00.000Z
,1716543,1673629,1716543,2025-03-19T00:00:00.000Z
,1701553,1659014,1701553,2025-03-18T00:00:00.000Z
,1696763,1654343,1696763,2025-03-17T00:00:00.000Z
,1700924,1658400,1700924,2025-03-16T00:00:00.000Z
,1700924,1658400,1700924,2025-03-15T00:00:00.000Z
,1700448,1657936,1700448,2025-03-14T00:00:00.000Z
,1676723,1634804,1676723,2025-03-13T00:00:00.000Z
,1665479,1623842,1665479,2025-03-12T00:00:00.000Z
,1643464,1602377,1643464,2025-03-11T00:00:00.000Z
,1657218,1615787,1657218,2025-03-10T00:00:00.000Z
,1655014,1613638,1655014,2025-03-09T00:00:00.000Z
,1655014,1613638,1655014,2025-03-08T00:00:00.000Z
,1654794,1613424,1654794,2025-03-07T00:00:00.000Z
,1666926,1625252,1666926,2025-03-06T00:00:00.000Z
,1670145,1628391,1670145,2025-03-05T00:00:00.000Z
,1665407,1623771,1665407,2025-03-04T00:00:00.000Z
,1648342,1607133,1648342,2025-03-03T00:00:00.000Z
,1647776,1606581,1647776,2025-03-02T00:00:00.000Z
,1647776,1606581,1647776,2025-03-01T00:00:00.000Z
,1647222,1606041,1647222,2025-02-28T00:00:00.000Z
,1649703,1608460,1649703,2025-02-27T00:00:00.000Z
,1652404,1611093,1652404,2025-02-26T00:00:00.000Z
,1665072,1623445,1665072,2025-02-25T00:00:00.000Z
,1663761,1622166,1663761,2025-02-24T00:00:00.000Z
,1667493,1625805,1667493,2025-02-23T00:00:00.000Z
,1667493,1625805,1667493,2025-02-22T00:00:00.000Z
,1667046,1625369,1667046,2025-02-21T00:00:00.000Z
,1668346,1626637,1668346,2025-02-20T00:00:00.000Z
,1650524,1609260,1650524,2025-02-19T00:00:00.000Z
,1638454,1597492,1638454,2025-02-18T00:00:00.000Z
,1629286,1588553,1629286,2025-02-17T00:00:00.000Z
,1652663,1611346,1652663,2025-02-16T00:00:00.000Z
,1652663,1611346,1652663,2025-02-15T00:00:00.000Z
,1652351,1611042,1652351,2025-02-14T00:00:00.000Z
,1644453,1603341,1644453,2025-02-13T00:00:00.000Z
,1636354,1595445,1636354,2025-02-12T00:00:00.000Z
,1636054,1595152,1636054,2025-02-11T00:00:00.000Z
,1612289,1571981,1612289,2025-02-10T00:00:00.000Z
,1603534,1563445,1603534,2025-02-09T00:00:00.000Z
,1603534,1563445,1603534,2025-02-08T00:00:00.000Z
,1604097,1563994,1604097,2025-02-07T00:00:00.000Z
,1613873,1573526,1613873,2025-02-06T00:00:00.000Z
,1606072,1565920,1606072,2025-02-05T00:00:00.000Z
,1595044,1555167,1595044,2025-02-04T00:00:00.000Z
,1566296,1527138,1566296,2025-02-03T00:00:00.000Z
,1551670,1512878,1551670,2025-02-02T00:00:00.000Z
,1551670,1512878,1551670,2025-02-01T00:00:00.000Z
,1552181,1513376,1552181,2025-01-31T00:00:00.000Z
,1551993,1513193,1551993,2025-01-30T00:00:00.000Z
,1551384,1512599,1551384,2025-01-29T00:00:00.000Z
,1551792,1512997,1551792,2025-01-28T00:00:00.000Z
,1551712,1512919,1551712,2025-01-27T00:00:00.000Z
,1551375,1512590,1551375,2025-01-26T00:00:00.000Z
,1551375,1512590,1551375,2025-01-25T00:00:00.000Z
,1551836,1513040,1551836,2025-01-24T00:00:00.000Z
,1550752,1511983,1550752,2025-01-23T00:00:00.000Z
,1549817,1511071,1549817,2025-01-22T00:00:00.000Z
,1534935,1496561,1534935,2025-01-21T00:00:00.000Z
,1529741,1491497,1529741,2025-01-20T00:00:00.000Z
,1538296,1499838,1538296,2025-01-19T00:00:00.000Z
,1538296,1499838,1538296,2025-01-18T00:00:00.000Z
,1538789,1500319,1538789,2025-01-17T00:00:00.000Z
,1525943,1487794,1525943,2025-01-16T00:00:00.000Z
,1512811,1474990,1512811,2025-01-15T00:00:00.000Z
,1509699,1471956,1509699,2025-01-14T00:00:00.000Z
,1518659,1480692,1518659,2025-01-13T00:00:00.000Z
,1506358,1468699,1506358,2025-01-12T00:00:00.000Z
,1506358,1468699,1506358,2025-01-11T00:00:00.000Z
,1506789,1469119,1506789,2025-01-10T00:00:00.000Z
,1499725,1462231,1499725,2025-01-09T00:00:00.000Z
,1494738,1457369,1494738,2025-01-08T00:00:00.000Z
,1489687,1452444,1489687,2025-01-07T00:00:00.000Z
,1495505,1458117,1495505,2025-01-06T00:00:00.000Z
,1498119,1460666,1498119,2025-01-05T00:00:00.000Z
,1498119,1460666,1498119,2025-01-04T00:00:00.000Z
,1498615,1461149,1498615,2025-01-03T00:00:00.000Z
,1484737,1447618,1484737,2025-01-02T00:00:00.000Z
,1488127,1450923,1488127,2025-01-01T00:00:00.000Z
,1488050,1450848,1488050,2024-12-31T00:00:00.000Z
,1488491,1451278,1488491,2024-12-30T00:00:00.000Z
,1488075,1450873,1488075,2024-12-29T00:00:00.000Z
,1488075,1450873,1488075,2024-12-28T00:00:00.000Z
,1488511,1451298,1488511,2024-12-27T00:00:00.000Z
,1476685,1439767,1476685,2024-12-26T00:00:00.000Z
,1476146,1439242,1476146,2024-12-25T00:00:00.000Z
,1476586,1439671,1476586,2024-12-24T00:00:00.000Z
,1486519,1449356,1486519,2024-12-23T00:00:00.000Z
,1474215,1437359,1474215,2024-12-22T00:00:00.000Z
,1474215,1437359,1474215,2024-12-21T00:00:00.000Z
,1474646,1437779,1474646,2024-12-20T00:00:00.000Z
,1463676,1427084,1463676,2024-12-19T00:00:00.000Z
,1479629,1442638,1479629,2024-12-18T00:00:00.000Z
,1479629,1442638,1479629,2024-12-17T00:00:00.000Z
,1476660,1439743,1476660,2024-12-16T00:00:00.000Z
,1491087,1453809,1491087,2024-12-15T00:00:00.000Z
,1491087,1453809,1491087,2024-12-14T00:00:00.000Z
,1491562,1454272,1491562,2024-12-13T00:00:00.000Z
,1508511,1470798,1508511,2024-12-12T00:00:00.000Z
,1494722,1457353,1494722,2024-12-11T00:00:00.000Z
,1478687,1441719,1478687,2024-12-10T00:00:00.000Z
,1464711,1428093,1464711,2024-12-09T00:00:00.000Z
,1483925,1446826,1483925,2024-12-08T00:00:00.000Z
,1483925,1446826,1483925,2024-12-07T00:00:00.000Z
,1484337,1447228,1484337,2024-12-06T00:00:00.000Z
,1484363,1447253,1484363,2024-12-05T00:00:00.000Z
,1475570,1438680,1475570,2024-12-04T00:00:00.000Z
,1477532,1440593,1477532,2024-12-03T00:00:00.000Z
,1472537,1435723,1472537,2024-12-02T00:00:00.000Z
,1474054,1437202,1474054,2024-12-01T00:00:00.000Z
,1474054,1437202,1474054,2024-11-30T00:00:00.000Z
,1474510,1437647,1474510,2024-11-29T00:00:00.000Z
,1478430,1441469,1478430,2024-11-28T00:00:00.000Z
,1471524,1434735,1471524,2024-11-27T00:00:00.000Z
,1471434,1434648,1471434,2024-11-26T00:00:00.000Z
,1495276,1457894,1495276,2024-11-25T00:00:00.000Z
,1481381,1444346,1481381,2024-11-24T00:00:00.000Z
,1481381,1444346,1481381,2024-11-23T00:00:00.000Z
,1481736,1444692,1481736,2024-11-22T00:00:00.000Z
,1471623,1434832,1471623,2024-11-21T00:00:00.000Z
,1439786,1403791,1439786,2024-11-20T00:00:00.000Z
,1453538,1417199,1453538,2024-11-19T00:00:00.000Z
,1442515,1406452,1442515,2024-11-18T00:00:00.000Z
,1445881,1409733,1445881,2024-11-17T00:00:00.000Z
,1445881,1409733,1445881,2024-11-16T00:00:00.000Z
,1446379,1410219,1446379,2024-11-15T00:00:00.000Z
,1442337,1406278,1442337,2024-11-14T00:00:00.000Z
,1462271,1425714,1462271,2024-11-13T00:00:00.000Z
,1452378,1416068,1452378,2024-11-12T00:00:00.000Z
,1483224,1446143,1483224,2024-11-11T00:00:00.000Z
,1489957,1452708,1489957,2024-11-10T00:00:00.000Z
,1489957,1452708,1489957,2024-11-09T00:00:00.000Z
,1490394,1453134,1490394,2024-11-08T00:00:00.000Z
,1477493,1440555,1477493,2024-11-07T00:00:00.000Z
,1504320,1466712,1504320,2024-11-06T00:00:00.000Z
,1500707,1463189,1500707,2024-11-05T00:00:00.000Z
,1500726,1463207,1500726,2024-11-04T00:00:00.000Z
,1503271,1465689,1503271,2024-11-03T00:00:00.000Z
,1503271,1465689,1503271,2024-11-02T00:00:00.000Z
,1503719,1466126,1503719,2024-11-01T00:00:00.000Z
,1518503,1480540,1518503,2024-10-31T00:00:00.000Z
,1511738,1473944,1511738,2024-10-30T00:00:00.000Z
,1486951,1449777,1486951,2024-10-29T00:00:00.000Z
,1478835,1441864,1478835,2024-10-28T00:00:00.000Z
,1473427,1436591,1473427,2024-10-27T00:00:00.000Z
,1473427,1436591,1473427,2024-10-26T00:00:00.000Z
,1473757,1436913,1473757,2024-10-25T00:00:00.000Z
,1461805,1425259,1461805,2024-10-24T00:00:00.000Z
,1467842,1431145,1467842,2024-10-23T00:00:00.000Z
,1455836,1419440,1455836,2024-10-22T00:00:00.000Z
,1458769,1422299,1458769,2024-10-21T00:00:00.000Z
,1455509,1419121,1455509,2024-10-20T00:00:00.000Z
,1455509,1419121,1455509,2024-10-19T00:00:00.000Z
,1455066,1418689,1455066,2024-10-18T00:00:00.000Z
,1448014,1411813,1448014,2024-10-17T00:00:00.000Z
,1442908,1406835,1442908,2024-10-16T00:00:00.000Z
,1439810,1403814,1439810,2024-10-15T00:00:00.000Z
,1440889,1404866,1440889,2024-10-14T00:00:00.000Z
,1433063,1397236,1433063,2024-10-13T00:00:00.000Z
,1433063,1397236,1433063,2024-10-12T00:00:00.000Z
,1432584,1396769,1432584,2024-10-11T00:00:00.000Z
,1424822,1389201,1424822,2024-10-10T00:00:00.000Z
,1432749,1396930,1432749,2024-10-09T00:00:00.000Z
,1432889,1397066,1432889,2024-10-08T00:00:00.000Z
,1429635,1393894,1429635,2024-10-07T00:00:00.000Z
,1423376,1387791,1423376,2024-10-06T00:00:00.000Z
,1423376,1387791,1423376,2024-10-05T00:00:00.000Z
,1422963,1387388,1422963,2024-10-04T00:00:00.000Z
,1419813,1384317,1419813,2024-10-03T00:00:00.000Z
,1414718,1379350,1414718,2024-10-02T00:00:00.000Z
,1403756,1368662,1403756,2024-10-01T00:00:00.000Z
,1414498,1379135,1414498,2024-09-30T00:00:00.000Z
,1412940,1377616,1412940,2024-09-29T00:00:00.000Z
,1412940,1377616,1412940,2024-09-28T00:00:00.000Z
,1412590,1377275,1412590,2024-09-27T00:00:00.000Z
,1411602,1376311,1411602,2024-09-26T00:00:00.000Z
,1411600,1376310,1411600,2024-09-25T00:00:00.000Z
,1394535,1359671,1394535,2024-09-24T00:00:00.000Z
,1406524,1371360,1406524,2024-09-23T00:00:00.000Z
,1391905,1357107,1391905,2024-09-22T00:00:00.000Z
,1391905,1357107,1391905,2024-09-21T00:00:00.000Z
,1391434,1356648,1391434,2024-09-20T00:00:00.000Z
,1384317,1349709,1384317,2024-09-19T00:00:00.000Z
,1391331,1356547,1391331,2024-09-18T00:00:00.000Z
,1394407,1359546,1394407,2024-09-17T00:00:00.000Z
,1381513,1346975,1381513,2024-09-16T00:00:00.000Z
,1381924,1347375,1381924,2024-09-15T00:00:00.000Z
,1381924,1347375,1381924,2024-09-14T00:00:00.000Z
,1381459,1346922,1381459,2024-09-13T00:00:00.000Z
,1367384,1333199,1367384,2024-09-12T00:00:00.000Z
,1369180,1334950,1369180,2024-09-11T00:00:00.000Z
,1358255,1324298,1358255,2024-09-10T00:00:00.000Z
,1357207,1323276,1357207,2024-09-09T00:00:00.000Z
,1371560,1337271,1371560,2024-09-08T00:00:00.000Z
,1371560,1337271,1371560,2024-09-07T00:00:00.000Z
,1371193,1336913,1371193,2024-09-06T00:00:00.000Z
,1368174,1333969,1368174,2024-09-05T00:00:00.000Z
,1365176,1331046,1365176,2024-09-04T00:00:00.000Z
,1363139,1329060,1363139,2024-09-03T00:00:00.000Z
,1360283,1326275,1360283,2024-09-02T00:00:00.000Z
,1367652,1333460,1367652,2024-09-01T00:00:00.000Z
,1367652,1333460,1367652,2024-08-31T00:00:00.000Z
,1367288,1333105,1367288,2024-08-30T00:00:00.000Z
,1366257,1332100,1366257,2024-08-29T00:00:00.000Z
,1364208,1330102,1364208,2024-08-28T00:00:00.000Z
,1369301,1335068,1369301,2024-08-27T00:00:00.000Z
,1369246,1335014,1369246,2024-08-26T00:00:00.000Z
,1357643,1323701,1357643,2024-08-25T00:00:00.000Z
,1357643,1323701,1357643,2024-08-24T00:00:00.000Z
,1357318,1323385,1357318,2024-08-23T00:00:00.000Z
,1364271,1330164,1364271,2024-08-22T00:00:00.000Z
,1369190,1334960,1369190,2024-08-21T00:00:00.000Z
,1373308,1338975,1373308,2024-08-20T00:00:00.000Z
,1373244,1338912,1373244,2024-08-19T00:00:00.000Z
,1361786,1327741,1361786,2024-08-18T00:00:00.000Z
,1361786,1327741,1361786,2024-08-17T00:00:00.000Z
,1361359,1327325,1361359,2024-08-16T00:00:00.000Z
,1369136,1334907,1369136,2024-08-15T00:00:00.000Z
,1374038,1339687,1374038,2024-08-14T00:00:00.000Z
,1377314,1342881,1377314,2024-08-13T00:00:00.000Z
,1359362,1325377,1359362,2024-08-12T00:00:00.000Z
,1368624,1334408,1368624,2024-08-11T00:00:00.000Z
,1368624,1334408,1368624,2024-08-10T00:00:00.000Z
,1368193,1333988,1368193,2024-08-09T00:00:00.000Z
,1357162,1323232,1357162,2024-08-08T00:00:00.000Z
,1357148,1323219,1357148,2024-08-07T00:00:00.000Z
,1366190,1332035,1366190,2024-08-06T00:00:00.000Z
,1371185,1336905,1371185,2024-08-05T00:00:00.000Z
,1380760,1346241,1380760,2024-08-04T00:00:00.000Z
,1380760,1346241,1380760,2024-08-03T00:00:00.000Z
,1380552,1346038,1380552,2024-08-02T00:00:00.000Z
,1384567,1349952,1384567,2024-08-01T00:00:00.000Z
,1368455,1334243,1368455,2024-07-31T00:00:00.000Z
,1358349,1324390,1358349,2024-07-30T00:00:00.000Z
,1359447,1325460,1359447,2024-07-29T00:00:00.000Z
,1335534,1302145,1335534,2024-07-28T00:00:00.000Z
,1335534,1302145,1335534,2024-07-27T00:00:00.000Z
,1335165,1301785,1335165,2024-07-26T00:00:00.000Z
,1349038,1315312,1349038,2024-07-25T00:00:00.000Z
,1355419,1321533,1355419,2024-07-24T00:00:00.000Z
,1352327,1318518,1352327,2024-07-23T00:00:00.000Z
,1352268,1318461,1352268,2024-07-22T00:00:00.000Z
,1367671,1333479,1367671,2024-07-21T00:00:00.000Z
,1367671,1333479,1367671,2024-07-20T00:00:00.000Z
,1367271,1333089,1367271,2024-07-19T00:00:00.000Z
,1374550,1340186,1374550,2024-07-18T00:00:00.000Z
,1365647,1331505,1365647,2024-07-17T00:00:00.000Z
,1351520,1317732,1351520,2024-07-16T00:00:00.000Z
,1347393,1313708,1347393,2024-07-15T00:00:00.000Z
,1347735,1314041,1347735,2024-07-14T00:00:00.000Z
,1347735,1314041,1347735,2024-07-13T00:00:00.000Z
,1347257,1313575,1347257,2024-07-12T00:00:00.000Z
,1334290,1300932,1334290,2024-07-11T00:00:00.000Z
,1328281,1295073,1328281,2024-07-10T00:00:00.000Z
,1337212,1303781,1337212,2024-07-09T00:00:00.000Z
,1344236,1310630,1344236,2024-07-08T00:00:00.000Z
,1329730,1296486,1329730,2024-07-07T00:00:00.000Z
