,date,buy,predict,error
0,2025-06-22,1843593,1876996.1,33403.10000000009
1,2025-06-23,1843180,1879543.8,36363.80000000005
2,2025-06-24,1838732,1882890.6,44158.60000000009
3,2025-06-25,1845558,1886828.6,41270.60000000009
4,2025-06-26,1872029,1891197.2,19168.199999999953
5,2025-06-27,1861073,1895877.8,34804.80000000005
6,2025-06-28,1847496,1900782.5,53286.5
